"SubscriptionName";"Subscription";"MGPath";"VNet";"VNetResourceGroup";"Location";"AddressSpaceAddressPrefixes";"DhcpoptionsDnsservers";"SubnetsCount";"SubnetsWithNSGCount";"SubnetsWithRouteTableCount";"SubnetsWithDelegationsCount";"PrivateEndpointsCount";"SubnetsWithPrivateEndPointsCount";"ConnectedDevices";"SubnetsWithConnectedDevicesCount";"DdosProtection";"PeeringsCount"
"azr-mge-dev-sub-04";"399a72e1-30af-4a84-92ac-af885a677310";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity";"alz-hub-centralus";"alz-connectivity-centralus";"centralus";"10.101.0.0/22";"";"0";"0";"0";"0";"0";"0";"0";"0";"False";"1"
"azr-mge-dev-sub-04";"399a72e1-30af-4a84-92ac-af885a677310";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity";"alz-hub-eastus2";"alz-connectivity-eastus2";"eastus2";"10.100.0.0/22";"";"2";"0";"0";"1";"0";"0";"1";"1";"False";"1"
