"subscriptionId";"subscriptionName";"mgPath";"type";"sku_capacity";"sku_family";"sku_name";"sku_tier";"kind";"id";"name";"location";"tags";"createdTime";"changedTime";"cafResourceNamingResult";"cafResourceNaming";"cafResourceNamingFriendlyName"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/privatednszones/virtualnetworklinks";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-dns/providers/microsoft.network/privatednszones/privatelink.4.azurestaticapps.net/virtualnetworklinks/a4225384-b567-4381-9ca4-13f5e2e5ab6c-d34ee379-bfcf-5718-a489-c24d2a32fe90";"privatelink.4.azurestaticapps.net/a4225384-b567-4381-9ca4-13f5e2e5ab6c-d34ee379-bfcf-5718-a489-c24d2a32fe90";"global";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:31:09";"01/21/2026 00:41:41";"n/a";"n/a";"n/a"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/privatednszones";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-dns/providers/microsoft.network/privatednszones/privatelink.5.azurestaticapps.net";"privatelink.5.azurestaticapps.net";"global";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:19:28";"01/21/2026 00:30:00";"failed";"pdnsz-";"DNS zone"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/privatednszones/virtualnetworklinks";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-dns/providers/microsoft.network/privatednszones/privatelink.5.azurestaticapps.net/virtualnetworklinks/a4225384-b567-4381-9ca4-13f5e2e5ab6c-7bd2265d-49b8-5a49-bdc7-d60c6c199e94";"privatelink.5.azurestaticapps.net/a4225384-b567-4381-9ca4-13f5e2e5ab6c-7bd2265d-49b8-5a49-bdc7-d60c6c199e94";"global";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:33:52";"01/21/2026 00:44:24";"n/a";"n/a";"n/a"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/privatednszones/virtualnetworklinks";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-dns/providers/microsoft.network/privatednszones/privatelink.5.azurestaticapps.net/virtualnetworklinks/a4225384-b567-4381-9ca4-13f5e2e5ab6c-d34ee379-bfcf-5718-a489-c24d2a32fe90";"privatelink.5.azurestaticapps.net/a4225384-b567-4381-9ca4-13f5e2e5ab6c-d34ee379-bfcf-5718-a489-c24d2a32fe90";"global";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:27:26";"01/21/2026 00:37:57";"n/a";"n/a";"n/a"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/privatednszones";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-dns/providers/microsoft.network/privatednszones/privatelink.adf.azure.com";"privatelink.adf.azure.com";"global";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:19:18";"01/21/2026 00:29:50";"failed";"pdnsz-";"DNS zone"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/privatednszones/virtualnetworklinks";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-dns/providers/microsoft.network/privatednszones/privatelink.adf.azure.com/virtualnetworklinks/a4225384-b567-4381-9ca4-13f5e2e5ab6c-7bd2265d-49b8-5a49-bdc7-d60c6c199e94";"privatelink.adf.azure.com/a4225384-b567-4381-9ca4-13f5e2e5ab6c-7bd2265d-49b8-5a49-bdc7-d60c6c199e94";"global";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:31:42";"01/21/2026 00:42:14";"n/a";"n/a";"n/a"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/privatednszones/virtualnetworklinks";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-dns/providers/microsoft.network/privatednszones/privatelink.adf.azure.com/virtualnetworklinks/a4225384-b567-4381-9ca4-13f5e2e5ab6c-d34ee379-bfcf-5718-a489-c24d2a32fe90";"privatelink.adf.azure.com/a4225384-b567-4381-9ca4-13f5e2e5ab6c-d34ee379-bfcf-5718-a489-c24d2a32fe90";"global";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:30:37";"01/21/2026 00:41:09";"n/a";"n/a";"n/a"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/privatednszones";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-dns/providers/microsoft.network/privatednszones/privatelink.afs.azure.net";"privatelink.afs.azure.net";"global";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:20:30";"01/21/2026 00:31:02";"failed";"pdnsz-";"DNS zone"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/privatednszones/virtualnetworklinks";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-dns/providers/microsoft.network/privatednszones/privatelink.afs.azure.net/virtualnetworklinks/a4225384-b567-4381-9ca4-13f5e2e5ab6c-7bd2265d-49b8-5a49-bdc7-d60c6c199e94";"privatelink.afs.azure.net/a4225384-b567-4381-9ca4-13f5e2e5ab6c-7bd2265d-49b8-5a49-bdc7-d60c6c199e94";"global";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:32:47";"01/21/2026 00:43:19";"n/a";"n/a";"n/a"
"399a72e1-30af-4a84-92ac-af885a677310";"azr-mge-dev-sub-04";"54d665dd-30f1-45c5-a8d5-d6ffcdb518f9/alz/platform/connectivity/399a72e1-30af-4a84-92ac-af885a677310";"microsoft.network/privatednszones/virtualnetworklinks";;;;;;"/subscriptions/399a72e1-30af-4a84-92ac-af885a677310/resourcegroups/alz-dns/providers/microsoft.network/privatednszones/privatelink.afs.azure.net/virtualnetworklinks/a4225384-b567-4381-9ca4-13f5e2e5ab6c-d34ee379-bfcf-5718-a489-c24d2a32fe90";"privatelink.afs.azure.net/a4225384-b567-4381-9ca4-13f5e2e5ab6c-d34ee379-bfcf-5718-a489-c24d2a32fe90";"global";"@{demo_type=Deploy connectivity resources using multiple module declarations; deployedBy=terraform/azure/caf-enterprise-scale/examples/l400-multi}";"01/21/2026 00:33:20";"01/21/2026 00:43:51";"n/a";"n/a";"n/a"
