"Type";"PolicyName";"PolicyId";"PolicyVersion";"PolicyScope";"PolicyScopeId";"ALZPolicyName";"ALZVersion";"ALZState";"InTenant";"DetectedBy";"AzAdvertizerUrl"
"Policy";"Deny-APIM-TLS";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-apim-tls";"1.0.0";"Mg";"alz";"Deny-APIM-TLS";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-APIM-TLS.html"
"Policy";"Deny-AppGw-Without-Tls";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-appgw-without-tls";"1.0.0";"Mg";"alz";"Deny-AppGw-Without-Tls";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppGw-Without-Tls.html"
"Policy";"Deny-AppGW-Without-WAF";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-appgw-without-waf";"1.0.0";"Mg";"alz";"Deny-AppGW-Without-WAF";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppGW-Without-WAF.html"
"Policy";"Deny-AppService-without-BYOC";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-appservice-without-byoc";"1.0.0";"Mg";"alz";"Deny-AppService-without-BYOC";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppService-without-BYOC.html"
"Policy";"Deny-AppServiceApiApp-http";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-appserviceapiapp-http";"1.0.0";"Mg";"alz";"Deny-AppServiceApiApp-http";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppServiceApiApp-http.html"
"Policy";"Deny-AppServiceFunctionApp-http";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-appservicefunctionapp-http";"1.0.0";"Mg";"alz";"Deny-AppServiceFunctionApp-http";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppServiceFunctionApp-http.html"
"Policy";"Deny-AppServiceWebApp-http";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-appservicewebapp-http";"1.0.0";"Mg";"alz";"Deny-AppServiceWebApp-http";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AppServiceWebApp-http.html"
"Policy";"Deny-AzFw-Without-Policy";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-azfw-without-policy";"1.0.0";"Mg";"alz";"Deny-AzFw-Without-Policy";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-AzFw-Without-Policy.html"
"Policy";"Deny-CognitiveServices-NetworkAcls";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-cognitiveservices-networkacls";"1.0.0";"Mg";"alz";"Deny-CognitiveServices-NetworkAcls";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-CognitiveServices-NetworkAcls.html"
"Policy";"Deny-CognitiveServices-Resource-Kinds";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-cognitiveservices-resource-kinds";"1.0.0";"Mg";"alz";"Deny-CognitiveServices-Resource-Kinds";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-CognitiveServices-Resource-Kinds.html"
"Policy";"Deny-CognitiveServices-RestrictOutboundNetworkAccess";"/providers/microsoft.management/managementgroups/alz/providers/microsoft.authorization/policydefinitions/deny-cognitiveservices-restrictoutboundnetworkaccess";"1.0.0";"Mg";"alz";"Deny-CognitiveServices-RestrictOutboundNetworkAccess";"1.0.0";"upToDate";"True";"Policy Name";"https://www.azadvertizer.net/azpolicyadvertizer/Deny-CognitiveServices-RestrictOutboundNetworkAccess.html"
